LineCount,Group,DuplicateFile,StartLine,EndLine
23,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\Controllers\HelpController.cs,12,60
23,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\Controllers\HelpController.cs,12,60
24,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,2434,2458
24,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctOrderedLgObjects.js,2,26
26,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\App_Start\HelpPageConfig.cs,30,111
26,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\App_Start\HelpPageConfig.cs,30,111
27,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectGetRange.cs,34,84
27,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectDeleteRange.cs,34,84
28,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\CommandProcessor.cs,195,254
28,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\EventDataProcessor.cs,147,207
30,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\Models\HelpPageApiModel.cs,12,105
30,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\Models\HelpPageApiModel.cs,12,105
31,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\type.js,6,56
31,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,926,976
32,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\LinearGrid.js,4,46
32,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5217,5259
32,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\util\rectFunc.js,4,46
32,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5606,5648
34,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\ObjectFragment.cs,30,93
34,Core.Library.Protocol,D:\PrismMetrics\src\Core.Library.Protocol\Service\Slb.Prism.Core.Library.Protocol\Generated\Energistics\Protocol\GrowingObject\GrowingObjectPut.cs,30,93
37,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\TangentialGrid.js,23,71
37,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5350,5398
48,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5263,5327
48,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\LogarithmicGrid.js,4,68
51,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5145,5213
51,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\Curve.js,4,72
52,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctEmptyTimeTemplate.js,2,63
52,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,2330,2391
53,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,639,722
53,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\net.js,2,85
58,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,2262,2328
58,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctEmptyDepthTemplate.js,2,68
